"CP009273.1","Genbank","CDS",190,255,".","+",0,"ID=cds0;Parent=gene0;Dbxref=NCBI_GP:AIN30539.1;Name=AIN30539.1;gbkey=CDS;gene=thrL;product=thr operon leader peptide;protein_id=AIN30539.1;transl_table=11"
"CP009273.1","Genbank","CDS",337,2799,".","+",0,"ID=cds1;Parent=gene1;Dbxref=NCBI_GP:AIN30540.1;Name=AIN30540.1;Note=bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal);experiment=N-terminus verified by Edman degradation:PMID 354697%2C4562989;gbkey=CDS;gene=thrA;product=Bifunctional aspartokinase/homoserine dehydrogenase 1;protein_id=AIN30540.1;transl_table=11"
"CP009273.1","Genbank","CDS",2801,3733,".","+",0,"ID=cds2;Parent=gene2;Dbxref=NCBI_GP:AIN30541.1;Name=AIN30541.1;gbkey=CDS;gene=thrB;product=homoserine kinase;protein_id=AIN30541.1;transl_table=11"
"CP009273.1","Genbank","CDS",3734,5020,".","+",0,"ID=cds3;Parent=gene3;Dbxref=NCBI_GP:AIN30542.1;Name=AIN30542.1;experiment=N-terminus verified by Edman degradation:PMID 9298646%2C9600841%2C9740056;gbkey=CDS;gene=thrC;product=L-threonine synthase;protein_id=AIN30542.1;transl_table=11"
"CP009273.1","Genbank","CDS",5234,5530,".","+",0,"ID=cds4;Parent=gene4;Dbxref=NCBI_GP:AIN30543.1;Name=AIN30543.1;gbkey=CDS;gene=yaaX;product=DUF2502 family putative periplasmic protein;protein_id=AIN30543.1;transl_table=11"
"CP009273.1","Genbank","CDS",5683,6459,".","-",0,"ID=cds5;Parent=gene5;Dbxref=NCBI_GP:AIN30544.1;Name=AIN30544.1;gbkey=CDS;gene=yaaA;product=peroxide resistance protein%2C lowers intracellular iron;protein_id=AIN30544.1;transl_table=11"
"CP009273.1","Genbank","CDS",6529,7959,".","-",0,"ID=cds6;Parent=gene6;Dbxref=NCBI_GP:AIN30545.1;Name=AIN30545.1;Note=inner membrane transport protein;gbkey=CDS;gene=yaaJ;product=putative transporter;protein_id=AIN30545.1;transl_table=11"
"CP009273.1","Genbank","CDS",8238,9191,".","+",0,"ID=cds7;Parent=gene7;Dbxref=NCBI_GP:AIN30546.1;Name=AIN30546.1;gbkey=CDS;gene=talB;product=transaldolase B;protein_id=AIN30546.1;transl_table=11"
"CP009273.1","Genbank","CDS",9306,9893,".","+",0,"ID=cds8;Parent=gene8;Dbxref=NCBI_GP:AIN30547.1;Name=AIN30547.1;Note=putative molybdochetalase in molybdopterine biosynthesis;gbkey=CDS;gene=mog;product=molybdochelatase incorporating molybdenum into molybdopterin;protein_id=AIN30547.1;transl_table=11"
"CP009273.1","Genbank","CDS",9928,10494,".","-",0,"ID=cds9;Parent=gene9;Dbxref=NCBI_GP:AIN30548.1;Name=AIN30548.1;gbkey=CDS;gene=satP;product=succinate-acetate transporter;protein_id=AIN30548.1;transl_table=11"
